,Request Id,prefill_e2e_time,cdf
758,758,95.38996057849914,0.3335
757,757,95.51900312235028,0.334
756,756,95.75913829573602,0.3345
755,755,96.44283040975318,0.335
754,754,96.55571225750944,0.3355
753,753,96.6168402556687,0.336
751,751,96.82358701232053,0.3365
752,752,96.87461189600094,0.337
750,750,96.99801139919362,0.3375
749,749,97.64141785609374,0.338
748,748,97.98561649294112,0.3385
747,747,98.12022895684652,0.339
743,743,98.760061879181,0.3395
746,746,98.79901794874056,0.34
744,744,98.80877688144352,0.3405
745,745,98.81983383954162,0.341
742,742,98.99316768774571,0.3415
741,741,99.10360374353584,0.342
739,739,99.29177974807317,0.3425
740,740,99.31442309288718,0.343
737,737,99.62500012299608,0.3435
738,738,99.66387286341958,0.344
736,736,99.90919055303362,0.3445
735,735,100.49484183108143,0.345
734,734,100.60673707283658,0.3455
733,733,100.60904737404496,0.346
732,732,100.88938910621951,0.3465
730,730,100.925258686354,0.347
731,731,100.94461282420372,0.3475
727,727,101.19186497463008,0.348
728,728,101.23849664623881,0.3485
729,729,101.24512120930461,0.349
726,726,102.2627735168164,0.3495
724,724,102.81740379183822,0.35
723,723,102.84528835216838,0.3505
725,725,102.8805910396656,0.351
722,722,103.16087665753324,0.3515
721,721,103.460744104871,0.352
720,720,103.69945059313253,0.3525
719,719,104.01888330294986,0.353
717,717,104.27551278847687,0.3535
718,718,104.32233915309834,0.354
716,716,104.55009102063991,0.3545
713,713,104.67669839795303,0.355
714,714,104.72965901655385,0.3555
715,715,104.739634340208,0.356
712,712,105.61100896212312,0.3565
711,711,105.65489116223341,0.357
707,707,105.79034607858327,0.3575
710,710,105.79995448749315,0.358
706,706,105.86885468205926,0.3585
708,708,105.88159517982086,0.359
709,709,105.9204326096008,0.3595
704,704,106.03456991689066,0.36
705,705,106.05169071313614,0.3605
703,703,106.10313589476118,0.361
701,701,106.24855306617712,0.3615
702,702,106.27443507618696,0.362
699,699,106.48883842350281,0.3625
698,698,106.51877194427013,0.363
700,700,106.58803001461149,0.3635
697,697,106.65179290836323,0.364
694,694,106.70636160815624,0.3645
695,695,106.76017986369581,0.365
696,696,106.79618649926496,0.3655
693,693,106.95827245797301,0.366
692,692,107.20236715305984,0.3665
691,691,107.23300029210469,0.367
690,690,107.51622748106823,0.3675
688,688,107.87378002014117,0.368
689,689,107.919633047954,0.3685
687,687,109.12296225830434,0.369
685,685,109.1441931507083,0.3695
684,684,109.24132131209817,0.37
686,686,109.24429317233634,0.3705
680,680,109.90539169886361,0.371
682,682,109.90626491896444,0.3715
683,683,109.92047247542567,0.372
681,681,109.93148098383148,0.3725
679,679,110.31860031959133,0.373
678,678,110.46663630753568,0.3735
676,676,110.65068316980447,0.374
677,677,110.66881054283147,0.3745
675,675,110.96305470076831,0.375
674,674,111.09506371862338,0.3755
673,673,111.12259743636605,0.376
672,672,112.10831250770198,0.3765
671,671,112.16759808861477,0.377
670,670,112.21044691926105,0.3775
669,669,112.24526583269093,0.378
668,668,112.33730688951948,0.3785
667,667,112.36440998634089,0.379
666,666,112.37527299115985,0.3795
664,664,112.3787627412899,0.38
665,665,112.39263875986393,0.3805
661,661,112.65205442369731,0.381
662,662,112.67523646240446,0.3815
663,663,112.68908239239195,0.382
660,660,112.69620459638105,0.3825
659,659,113.11478267666232,0.383
658,658,113.4232558158572,0.3835
656,656,113.80614453831026,0.384
657,657,113.8287716815729,0.3845
654,654,113.85057369564828,0.385
653,653,113.90323717773458,0.3855
655,655,113.91253207583446,0.386
652,652,113.97968536736357,0.3865
651,651,114.10556278902669,0.387
650,650,114.37982797464463,0.3875
649,649,114.53311410124624,0.388
883,883,115.25004641745167,0.3885
884,884,115.27495303033294,0.389
882,882,116.09275943084208,0.3895
880,880,116.17134136314223,0.39
881,881,116.17784091127851,0.3905
879,879,116.40732317661562,0.391
878,878,116.6064378264339,0.3915
877,877,116.65636188851241,0.392
876,876,117.14444175137515,0.3925
875,875,117.17914428151738,0.393
872,872,117.22628602069716,0.3935
873,873,117.32942491157203,0.394
874,874,117.33086872673428,0.3945
871,871,117.68219191527544,0.395
870,870,117.93599597636205,0.3955
865,865,117.98228980687162,0.396
866,866,118.06170897969636,0.3965
867,867,118.11322365642727,0.397
863,863,118.15180796703848,0.3975
864,864,118.16457162754403,0.398
869,869,118.16931588171857,0.3985
868,868,118.20399728081284,0.399
862,862,118.35112461265066,0.3995
861,861,118.66577293708008,0.4
859,859,119.34703718425783,0.4005
860,860,119.39972546179416,0.401
858,858,119.61057780403266,0.4015
857,857,119.70977391924035,0.402
856,856,119.93030538756872,0.4025
855,855,120.2336803732043,0.403
854,854,120.4821853399261,0.4035
852,852,120.83263547181008,0.404
853,853,120.86324477571463,0.4045
851,851,121.94037533804195,0.405
850,850,122.11825165614323,0.4055
849,849,122.17952162360581,0.406
846,846,122.20570418275287,0.4065
848,848,122.2725502759422,0.407
847,847,122.3143065034372,0.4075
845,845,122.32405978118786,0.408
843,843,122.59918726823594,0.4085
844,844,122.61584737423016,0.409
841,841,122.63698072828896,0.4095
842,842,122.66489432203184,0.41
840,840,123.64725271557711,0.4105
837,837,123.84543931659945,0.411
838,838,123.90969424596469,0.4115
836,836,123.91510499604976,0.412
839,839,123.94972707650075,0.4125
835,835,124.21778025023744,0.413
834,834,124.63627319855885,0.4135
833,833,125.04761536140464,0.414
832,832,125.14870693306,0.4145
830,830,125.51992824564377,0.415
829,829,125.52060843649426,0.4155
827,827,125.52284533130248,0.416
831,831,125.62582370873773,0.4165
826,826,125.63596965841731,0.417
828,828,125.63685967059581,0.4175
