,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
1045,1045,0.00021144021659902368,0.3035
1573,1573,0.00021144724529271498,0.304
395,395,0.0002114747043910515,0.3045
441,441,0.00021148650826569027,0.305
1740,1740,0.00021151594576562793,0.3055
1387,1387,0.00021156794576571158,0.306
1634,1634,0.00021162867493229598,0.3065
443,443,0.00021163419576569753,0.307
1706,1706,0.00021180061852942386,0.3075
680,680,0.0002118039457656984,0.308
542,542,0.00021180969576567454,0.3085
68,68,0.00021183525826569058,0.309
683,683,0.00021187123743227065,0.3095
559,559,0.00021192019576565801,0.31
961,961,0.00021211898427554734,0.3105
396,396,0.0002121887058769487,0.311
1730,1730,0.000212219779099021,0.3115
1737,1737,0.0002122270290991768,0.312
418,418,0.00021229344576567666,0.3125
1546,1546,0.00021231391630465167,0.313
1976,1976,0.00021231844576563574,0.3135
550,550,0.00021234538326564412,0.314
1037,1037,0.00021236948743230677,0.3145
1120,1120,0.00021242644604640734,0.315
1050,1050,0.00021250498743230484,0.3155
1220,1220,0.00021253159014017562,0.316
795,795,0.00021259994576561247,0.3165
1670,1670,0.00021260833018745283,0.317
695,695,0.00021264344576565897,0.3175
1051,1051,0.00021265773743228689,0.318
801,801,0.00021269319576566748,0.3185
560,560,0.00021276919576568298,0.319
1353,1353,0.0002128057789856744,0.3195
1977,1977,0.00021284644576580192,0.32
636,636,0.00021288225138902013,0.3205
876,876,0.0002129352647001172,0.321
1036,1036,0.00021294173743224842,0.3215
563,563,0.00021297194576569423,0.322
1033,1033,0.00021304594576565528,0.3225
1038,1038,0.00021304594576565528,0.323
698,698,0.00021312894576563934,0.3235
1639,1639,0.00021322998743245059,0.324
1390,1390,0.00021327448743235777,0.3245
802,802,0.00021332669576568097,0.325
1640,1640,0.00021333448743243721,0.3255
540,540,0.0002133591957657055,0.326
1314,1314,0.0002133803138135003,0.3265
558,558,0.00021338244576568632,0.327
1975,1975,0.00021340900826571918,0.3275
564,564,0.00021344494576569506,0.328
995,995,0.00021352566470014266,0.3285
1990,1990,0.00021362407076552792,0.329
1391,1391,0.00021362673743219318,0.3295
800,800,0.00021363625826564814,0.33
767,767,0.00021369847353416778,0.3305
678,678,0.0002137239874323571,0.331
417,417,0.00021377175826570172,0.3315
562,562,0.0002137967582656608,0.332
682,682,0.00021383121659901416,0.3325
1632,1632,0.00021383894576576523,0.333
1052,1052,0.00021383944576569558,0.3335
697,697,0.0002138822582656852,0.334
791,791,0.00021394798743235022,0.3345
790,790,0.00021396598743228523,0.335
699,699,0.0002140109457656747,0.3355
71,71,0.00021401275826568936,0.336
1378,1378,0.00021407063326561726,0.3365
1744,1744,0.00021409794576565666,0.337
557,557,0.00021411800826570682,0.3375
1470,1470,0.00021430769771533042,0.338
1938,1938,0.00021430769771533042,0.3385
499,499,0.00021431821069061398,0.339
447,447,0.0002143766957656834,0.3395
1153,1153,0.00021437669576573892,0.34
444,444,0.00021441069576566552,0.3405
1972,1972,0.0002144241957657833,0.341
1469,1469,0.00021444481138694816,0.3415
792,792,0.0002144529457657196,0.342
145,145,0.00021450272267835814,0.3425
98,98,0.0002145129299087542,0.343
1991,1991,0.000214530570765481,0.3435
1641,1641,0.00021459269576573625,0.344
416,416,0.0002146185290990421,0.3445
1743,1743,0.00021465175826573812,0.345
607,607,0.00021472370384833408,0.3455
422,422,0.00021472913326564536,0.346
1389,1389,0.0002147542165991112,0.3465
446,446,0.00021481225826563977,0.347
104,104,0.0002148841505118168,0.3475
1032,1032,0.00021490048743233459,0.348
1035,1035,0.00021490171659899193,0.3485
448,448,0.00021496119576569495,0.349
1981,1981,0.00021496969576562108,0.3495
996,996,0.00021509899140915173,0.35
440,440,0.00021510938326568807,0.3505
1745,1745,0.0002151229457656445,0.351
1392,1392,0.0002151749457655061,0.3515
1154,1154,0.0002152411957656586,0.352
1287,1287,0.00021526407076577492,0.3525
1874,1874,0.00021531348743253353,0.353
1722,1722,0.00021532919576583431,0.3535
674,674,0.00021533748743229886,0.354
1999,1999,0.0002153981314041431,0.3545
269,269,0.00021542930100229226,0.355
789,789,0.00021544446659893524,0.3555
1431,1431,0.00021546165584099817,0.356
1369,1369,0.0002156324457658343,0.3565
673,673,0.00021564948743235668,0.357
805,805,0.00021585623743236582,0.3575
1122,1122,0.00021588992071020746,0.358
